cleaned_up_drug	class_umls
cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
BMS-986205	
BMS-986205	
BGB-283	
MORAb-004	
TEW-7197	
TEW-7197	
PF-04691502	
PF-04691502	
PF-04691502	
PEP02	
Dalotuzumab	
Amatuximab	
CCS1477	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
LY3321367	
LY3300054	
Ridaforolimus	
Ridaforolimus	
TRC105Bevacizumab	
CKD-810Taxotere	
Taxotere®	
Taxotere®	
HospiraDocetaxel	
HM95573	
BirinapantTL32711	
MORAb-009	
5,10-methylenetetrahydrofolate	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
HC1119	
BMS-907351XL184	
LY2523355	
LY2523355	
Lucitanib	
PF-03732010	
PF-03732010	
INCB024360	
ASP4132	
tivozanib	
MEDI-522	
GS-1423	
RO6895882	
MK-7162	
Ispinesib	
Ispinesib	
SHR-1210	
OKI-179	
KITE-718	
XL820	
U3-1287	
U3-1287	
TAK-285Escalation	
TAK-285	
TAK-285	
TAK-285	
AtezolizumabTECENTRIQ	
Vanucizumab	
Vanucizumab	
SBP-101	
BAY79-4620	
BAY79-4620	
CEP-11981inhibitor	
NPC-1C/NEO-102	
BMS-906024	
BMS-906024	
BMS-906024	
Docetaxel-PNP	
Vx-006	
Vx-006	
Vx-006	
Vx-006	
CA-170	
Ixabepilonemg/d	
Ixabepilonemg/d	
Ixabepilonemg/d	
Ixabepilonemg/d	
Ixabepilonemg/d	
Ixabepilonemg/d	
Ixabepilonefamotidine	
TBI-1401HF10	
lapatinibdocetaxeltrastuzumab	
Docetaxeltrastuzumab	
RMC-4630	
Co-ArgI-PEG	
RegorafenibStivargaBAY73-4506	
IMC-18F1	
IMC-18F1	
IMC-18F1	
CopanlisibRefametinibBAY86-9766	
SAR405838	
SAR405838	
SAR405838	
SAR405838	
RG1507	
RG1507	
AUY922	
AUY922	
AUY922	
AUY922	
AUY922	
RC48-ADC	
RO5212054	
AVB-S6-500	
GDC-0810	
GDC-0810	
ThermoDoxHyperthermia	
Simmitinib	
Itacitinib	
Epacadostat	
INCB050465	
HS-10241	
Apatinib	
Apatinib	
Apatinib	
cediranibRECENTINAZD2171	
BPI-16350	
LHC165	
PDR001	
PDR001	
PDR001	
PDR001	
avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Lovaza	ANTILIPEMIC AGENTS
Lovaza	ANTILIPEMIC AGENTS
ALT-803	
ALT-803	
ETBX-011	
ETBX-051	
ETBX-061	
GI-4000	
GI-4000	
GI-6207	
GI-6301	
haNK	
Ipatasertib	
TAPA-pulsedvaccine	
NaCl	ELECTROLYTES/MINERALS,COMBINATIONS|RESPIRATORY AGENTS,OTHER|Electrolyte solutions|ELECTROLYTES/MINERALS,OTHER|IV SOLUTIONS WITHOUT ELECTROLYTES|Salt solutions|EYE WASHES/LUBRICANTS|AMINO ACIDS/PROTEINS,PARENTERAL,WITH ADDED ELECTROLYTES|HYPEROSMOTIC LAXATIVES|Sodium|Acid-Base Activity|AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES|NASAL AND THROAT,TOPICAL,OTHER|IV SOLUTIONS WITH ELECTROLYTES|DERMATOLOGICALS,TOPICAL OTHER|PHARMACEUTICAL AIDS/REAGENTS|PERITONEAL DIALYSIS SOLUTIONS|OPHTHALMICS,OTHER|LAXATIVES,OTHER|Electrolyte Activity|SODIUM|IRRIGATION SOLUTIONS
BAY80-6964	
AZD8055	
AZD8055	
AZD8055	
AZD8055	
BGB-283	
BMS-986299	
RO5429083	
ObatoclaxmesylateGX15-070MS	
BI-6727	
repotrectinibTPX-0005	
EOS100850	
XL999	
XL999	
XL999	
NMS-1286937	
BiCAR-NKROBO1CAR-NK	
HS-410	
RO5045337	
RO5045337	
RO5045337	
MSB0011359C	
XmAb®22841	
PembrolizumabKeytruda®	
Abiraterone	Other hormone antagonists and related agents|Cytochrome P450 2C8 Inhibitors|Cytochrome P450 17A1 Inhibitors|ANTINEOPLASTIC HORMONES|Cytochrome P450 2D6 Inhibitors|Cytochrome P450 17A1 Inhibitor
RO4987655	
RO4987655	
RO4987655	
RO4987655	
RG547	
ZIO-101	
HLX04	
HLX10	
MRTX849	
RG4733	
RO5126766	
RO5126766	
itacitinib	
GDC-0575	
beta-glucan	
beta-glucan	
beta-glucan	
RG1530	
pertuzumabPerjeta	
trastuzumabemtansineKadcyla	
BAY1000394	
BAY1000394	
BAY1000394	
GDC-0919	
MK-4166	
carboplatinSU011248sunitinibpaclitaxel	
68-Ga	
68-GaPSMA11	
AZD2014	
AZD2014	
AZD2014	
AZD2014	
CPI-200	
TQB2450	
Anlotinib	
Anlotinib	
Anlotinib	
E7389carboplatin	
E7389carboplatin	
E7389+carboplatin	
INCAGN01949	
BYL719	
BYL719	
BYL719	
BYL719	
APG-115	
STA-4783/paclitaxel	
BIBW	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
Ipatasertib	
Oratecan	
CS1001	
PEG20	
CS-1008	
CS-1008	
CS-1008	
SorafenibNexavarBAY43-9006	
RG1507	
RG1507	
RoniciclibBAY1000394	
PEP02	
Cabiralizumab	
Urelumab	
Amphinex	
Gentuximab	
norethindroneethinylestradiol	
ABTL0812	
ABTL0812	
ABTL0812	
ABTL0812	
Gemcitabinenab-paclitaxel	
AZD4635	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
Oleclumab	
C-0501	
ZIO-101Darinaparsin	
GDC-0994	
GDC-0994	
Idasanutlin	
MK0731	
MK0731	
MK0731	
MK0731	
IC83/LY2603618	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
WX-UK1Capecitabine	
SP-2577Seclidemstat	
panobinostatLBH589	
131I-F16SIPRadioimmunotherapy	
U3-1287AMG888	
AV0113DC-CIT	
KRN951	
KRN951	
HL-085	
PaclitaxelCarboplatinCP-870,893	
Debio	
abnobaVISCUMFraxini	
LarotrectinibVitrakviBAY2757556	
bacTRL-IL-12	
MSB2311	
FF-10832GemcitabineLiposome	
YM155	
YM155	
YM155	
veliparibABT-888	
hGM-CSF	
IBI308	
IBI308	
IBI308\Cisplatinum\Pemetrexed	
IBI308\cisplatin\gemcitabine	
IBI308\oxaliplatin\capecitabine	
IBI308\etoposide\cisplatin	
IBI308\irinotecan\5-FU	
SM88	
SM88	
alpha1H	
Merestinib	
ImmunotherapyGM-CSFvaccine	
AV-299	
AV-299erlotinib	
NV1020	
VAL-083Dianhydrogalactitol	
RO5045337	
RO5045337	
RO5045337	
PM060184	
PM060184	
PM060184	
MEDI9447oleclumab	
BGB-A317	
MEDI-573	
SGN-CD228A	
L-DOS47	
IBI101	
Sintilimab	
Sintilimab	
Sintilimab	
GAd-209-FSP	
MVA-209-FSP	
GAd-209-FSP	
MVA-209-FSP	
SHR-1702	
Camrelizumab	
Camrelizumab	
Camrelizumab	
LY3039478	
LY3039478	
LY3039478	
Trastuzumabemtansine	
Emactuzumab	
LY2603618	
LY2603618	
EF-022VitaminProteinMacrophageActivator	
isavuconazoniumintravenous	
isavuconazonium	ANTIFUNGALS
isavuconazonium	ANTIFUNGALS
donafenibtosilate	
CC-90010	
SOM230C	
FF-10850TopotecanLiposome	
SH-1028	
MP0310	
BSI-201iniparib	
MEDI-575	
KPT-330	
KPT-330	
177Lu-PSMA-R2	
ImmunotherapyGM-CSFvaccine	
MEK162	
MEK162	
MEK162	
MEK162	
Pexidartinib	
Debio1347CH5183284	
CBP501	
CBP501	
CBP501	
Lucitanib	
Sacituzumabgovitecan	
BAT8003	
Roniciclib	
ItraconazoleSporanox	
AnlotinibHydrochloride	
GWN323	
PDR001	
PDR001	
PDR001	
PDR001	
CabazitaxelXRP6258	
PM01183	
PM01183	
Selicrelumab	
Selicrelumab	
IBI310	
Sintilimab	
Sintilimab	
Sintilimab	
GB226	
mPEG-r-crisantaspase	
RO5479599	
zirconium-89-labeledRO5479599	
HTI-1090	
MidazolamHydrochloride	
Chlorogenic	
RO5083945	
RO5083945	
MGD009	
MGA012	
MGA012	
MGA012	
MGA012	
donafenibtosilate	
TKI258	
TKI258	
Oradoxel	
RO6958688	
RO6958688	
RO6958688	
RO6958688	
Tocilizumab	Interleukin-6 Receptor Antagonist|Interleukin inhibitors|Interleukin 6 Receptor Antagonists|ANTIRHEUMATICS,OTHER
Tocilizumab	Interleukin-6 Receptor Antagonist|Interleukin inhibitors|Interleukin 6 Receptor Antagonists|ANTIRHEUMATICS,OTHER
FG-3019	
FG-3019	
RO6958688	
RO6958688	
RO6958688	
RO6958688	
Andecaliximab	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
ABT-869	
ABT-869	
ALT-803	
ALT-803	
ETBX-011	
GI-4000	
GI-4000	
haNK	
avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
lovaza	ANTILIPEMIC AGENTS
lovaza	ANTILIPEMIC AGENTS
ODM-208	
NER1006	
Moviprep	Vitamin C|Unknown Cellular or Molecular Interaction|HYPEROSMOTIC LAXATIVES|Other ophthalmologicals|Electrolyte Activity|Ascorbic acid (vitamin C), plain|Salt solutions|Free Radical Scavenging Activity|Enzyme Interactions|Sodium|Acid-Base Activity|Organic acids|Osmotic Laxative|Osmotically acting laxatives|Electrolyte solutions|Potassium|Osmotic Activity
BGB-A1217	
Tislelizumab	
Tislelizumab	
NIRFLI	
Alkotinib	
GatipotuzumabTomuzotuximab	
PLX3397	
PLX3397	
PLX3397	
NanoliposomalIrinotecan	
IMMU-130	
dalotuzumab	
ridaforolimus	
ridaforolimus	
indibulin	
indibulin	
Pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
OSI-906	
OSI-906	
OSI-906	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
IM156	
TKI258dovitinib	
AxitinibPaclitaxelCarboplatin	
AxitinibPaclitaxelCarboplatin	
AxitinibPaclitaxelCarboplatin	
AxitinibPaclitaxel	
AxitinibDocetaxelCarboplatin	
AxitinibDocetaxel	
AxitinibCapecitabine	
AxitinibCapecitabine	
AxitinibGemcitabineCisplatin	
AxitinibPemetrexedCisplatin	
INCMGA00012	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
MBG453	
PDR001	
PDR001	
PDR001	
PDR001	
AC220	
AC220	
AC220	
SNS-595	
SNS-595	
DN1508052-01	
Oraxol	
SAR245408XL147	
MSC1936369B	
MSC1936369B	
MSC1936369B	
MSC1936369B	
C31510	
ODM-204	
CH5132799	
CH5132799	
CH5132799	
CH5132799	
CH5132799	
-pamiparib	
-pamiparib	
Ridaforolimus	
Ridaforolimus	
ZEN003694	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
ADCT-601	
Imprime	
Isatuximab	
Selicrelumab	
Selicrelumab	
HLX20	
Idasanutlin	
Idasanutlin	
Idasanutlin	
SHR-1316	
PEP503	
GLS-010	
HTI-1066	
HTI-1066	
HTI-1066	
HTI-1066	
LY573636-sodium	
LiposomalDoxorubicin	
FruquintinibHMPL-013	
IMO-2055	
IMO-2055	
68Ga-PSMA-R2	
N-803	
ETBX-011	
ETBX-051	
ETBX-061	
GI-4000	
GI-4000	
GI-6207	
GI-6301	
haNK	
avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
anticancerIC01	
BMS-986301	
PF-00299804	
BYL719	
BYL719	
BYL719	
BYL719	
Tazemetostat	
Tazemetostat	
ABI-009	
CergutuzumabAmunaleukin	
Tivantinib	
Epacadostat	
Epacadostat	
Epacadostat	
Cisplatinmg/m^2	
Pemetrexedmg/m^2	
Paclitaxelmg/m^2	
CarboplatinAUC6	
TAS-102	
TAS-102	
TAS-102	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
GDC-0068	
GDC-0068	
SNS-595	
SNS-595	
paclitaxelcarboplatin	
carboplatinetoposide	
gemcitabinecarboplatin	
nab-paclitaxelpaclitaxel-albumincarboplatin	
oxaliplatin5-fluorouracilleucovorincalcium	
durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
nab-paclitaxelpaclitaxel-albumingemcitabine	
cisplatin5-fluorouracil	
XNW7201	
CS3006	
TAK-593	
TAK-593	
TAK-593	
TAK-593	
SitravatinibTislelizumab	
CPX-POM	
Comparator	
Comparator	
ImmunotherapyGM-CSFvaccine	
XL999	
XL999	
XL999	
ALIMTAEpirubicin	
Carboplatin/Paclitaxel/MEDI-575	
Carboplatin/Paclitaxel	
Lucitanib	
KA2507	
Dinaciclib	
Dinaciclib	
avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
5-Fluorouracil5-FU	
Lovaza	ANTILIPEMIC AGENTS
Lovaza	ANTILIPEMIC AGENTS
ALT-803	
ALT-803	
ETBX-011	
ETBX-021	
ETBX-051	
ETBX-061	
GI-4000	
GI-4000	
GI-6207	
GI-6301	
haNK	
E7016	
CNF2024	
MotexafinGadolinium	
ombrabulinAVE8062	
BIIB015	
GDC-0980	
GDC-0980	
GDC-0980	
mFOLFOX6	
fruquintinib+paclitaxel	
MEK162	
MEK162	
MEK162	
MEK162	
MK-1308	
BC-819	
ImmunotherapyGM-CSFvaccine	
Urelumab	
LGX818	
LGX818	
LGX818	
EpothiloneKOS-862	
KN046	
BacilleCalmette-Guérin	
AGEN1884AGEN2034	
SM08502	
LXI-15029	
LXI-15029+Exemestane	
MLN0128	
MLN0128	
MLN0128	
GSK2110183carboplatinpaclitaxel	
CG200745	
CG200745	
CG200745	
CG200745	
CG200745	
Lipegfilgrastim	Colony stimulating factors
ACY-241	
NC-6004	
PlitidepsinSorafenib	
GemcitabinePlitidepsin	
X-396ensartinib	
NYESO-1c259	
rhuMAb	
Radium-223dichlorideXofigoBAY88-8223	
GDC-0917	
GDC-0917	
GDC-0917	
CDX-1401ResiquimodPoly-ICLC	
CDX-1401	
INCB059872	
retinoicATRA	
JNJ-63723283	
JNJ-63723283	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
LY2603618	
LY2603618	
DZD9008	
AG-270	
irinotecan3-week	
DKY709	
PDR001	
PDR001	
PDR001	
PDR001	
BiCAR-NK/TROBO1CAR-NK/T	
BKM120	
BKM120	
hexaminolevulinate	
hexaminolevulinate	
BCG+ALT-803	
MNRP1685A	
MNRP1685A	
BAY94-9392	
avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
ALT-803	
ALT-803	
ETBX-011	
GI-4000	
GI-4000	
Ga-68P16-093PET/CT	
V3-P	
CabazitaxelXRP6258	
GDC-0623	
GDC-0623	
GDC-0623	
GDC-0623	
ABT-806	
ABT-806	
ABT-806	
PSMA-CART	
Anlotinib14C-labeledAnlotinib	
TAK-931	
TAK-931	
TAK-931	
cabazitaxelXRP6258	
ALT-803	
ALT-803	
ETBX-011	
ETBX-021	
ETBX-051	
ETBX-061	
GI-4000	
GI-4000	
GI-6207	
GI-6301	
haNK	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
AS1411	
AS1411	
AS1411	
PLX038	
SimmitecanHydrochloride	
UrelumabBMS-663513	
CabazitaxelXRP6258	
BBI608	
BMS-936558MDX-1106	
MEN1309	
TNO155	
TAS-114	
TrastuzumabderuxtecanDS-8201a	
Brivanib	
Brivanib	
GDC-0980	
GDC-0980	
GDC-0980	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
XmAb20717	
Andes-1537	
CUDC-907	
CUDC-907	
CUDC-907	
JNJ-64457107	
JNJ-64457107	
MT-5111	
Velcadebortezomib	
MINT1526A	
ZIO-201-Tdoxorubicin	
ABI-009nab-rapamycinalbumin-boundrapamycin	
OPB-31121	
OPB-31121	
PLX9486	
PLX3397	
PLX3397	
PLX3397	
BKM120Olaparib	
BYL719Olaparib	
ALT-803	
ALT-803	
ETBX-011	
GI-4000	
GI-4000	
haNK	
avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
lovaza	ANTILIPEMIC AGENTS
lovaza	ANTILIPEMIC AGENTS
Cytokine-induced	
ARN-509	
ARN-509	
ARN-509	
ARN-509	
ARN-509	
ARN-509	
MycograbDocetaxel	
TAK-700	
TAK-700	
YE-NEO-001	
CP-4055	
CP-4055	
linifanib	
Abiraterone	Other hormone antagonists and related agents|Cytochrome P450 2C8 Inhibitors|Cytochrome P450 17A1 Inhibitors|ANTINEOPLASTIC HORMONES|Cytochrome P450 2D6 Inhibitors|Cytochrome P450 17A1 Inhibitor
Apitolisib	
Ipatasertib	
RAD001CetuximabIrinotecan	
ONCOS-102	
OMP-305B83	
OMP-305B83	
OMP-305B83	
OMP-305B83	
OMP-305B83	
Osteodex	
CarboplatinPaclitaxel	
Galunisertib	
Tanespimycin	
Tanespimycin	
AZD1775	
MEDI-522	
cabazitaxelXRP6258	
CX-188	
MetMAb	
mg/kg	
mg/kg	
mg/kg	
PF-03814735	
PF-03814735	
PF-03814735	
PF-03814735	
pyrotinib	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
OBI-888	
Alisertib	
BCD-135	
Ad-E6E7	
MG1-E6E7	
IGF-Methotrexate	
SAR439459	
CemiplimabREGN2810	
VeliparibABT-888	
paclitaxelgemcitabinelapatinib	
GL-ONC1	
vorinostatMK0683	
TAK-931	
TAK-931	
TAK-931	
BIIB021	
BIIB021	
BIIB021	
BIIB021	
BIIB0121	
TAK-981	
DCVac/PCa	
RO5045337	
RO5045337	
RO5045337	
Merestinib	
BMS-986012	
TAK-228	
RO6870810	
ABT-806	
ABT-806	
ABT-806	
ASP3026	
ASP3026	
ASP3026	
ASP3026	
selumetinib	
ASG-5ME	
ASG-5ME	
Atu027	
Atu027	
Atu027	
AZD0156	
AZD0156	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
Folinic	
T-1101Tosylate	
Norethindrone/ethinylestradiol	
PLX8394	
PLX8394	
PLX8394	
PLX8394	
PT-112	
Linifanib	
Alisertib	
Ridaforolimus	
Ridaforolimus	
Ridaforolimus	
Ridaforolimus	
IRX4204	
ZD6474vandetanib	
IniparibSAR240550BSI-201	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
MK-2206	
MK-2206	
MK-2206	
MK-2206	
MK-2206	
NimotuzumabTheraCIMh-R3	
P276-00	
P276-00	
P276-00	
P276-00	
P276-00	
P276-00	
SAR408701	
SAR408701	
SAR408701	
SAR408701	
HSV-TK	
Claudiximab	
NPC-1C	
REGN5678	
Cemiplimab	ANTINEOPLASTIC,OTHER
Cemiplimab	ANTINEOPLASTIC,OTHER
RRx-001	
RRx-001	
RRx-001	
TRQ15-01	
veliparibABT-888	
SB-485232	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
NHS-IL12	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
NHS-IL12	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
VERU-111	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
HM781-36B	
HM781-36B	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
Centrum	
BMS-908662	
BMS-908662	
BMS-908662	
TAK-788	
BIIB028	
BIIB028	
BIIB028	
BIIB028	
CS1003antibody	
HyperAcute-ProstateVaccine	
TJ011133	
AZD1390	
TAK-701	
LB-100	
LB-100	
LB-100	
LB-100	
ABT-806	
ABT-806	
ABT-806	
ABT-806i	
HGS1029	
HGS1029	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
GDC-0941	
GDC-0941	
durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
tremelimumabdurvalumab	
Paclitaxel+HM30181	
4SC-205	
APG-2449	
OmbrabulinAVE8062	
ABT-348carboplatin	
ABT-348docetaxel	
RO5509554	
RO5509554	
RO5509554	
L-malate	
BVAC-C	
NC-4016	
TAS-102	
TAS-102	
TAS-102	
VMD-928300-mg	
MEDI0680	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
CD3/HER2bispecificantibody	
Gemcitabine-ReleasingIntravesicalGemRIS/TAR-200	
ReposMBZ	
XY0206	
Motesanibdiphosphate	
ONO-7475	
ONO-7475ONO-4538	
AnetumabravtansineBAY94-9343	
TRC105	
Temodar®	
Temodar®therapy	
ACTR	
E7820	
E7820	
E7820	
Selumetinib	
CP-868,596	
Hemay102	
RegorafenibStivargaBAY73-4506	
ONO-4578	
HyperAcute-PancreaticVaccine	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
Relacorilant	
Relacorilant	
SH-1028	
AlloStim-7	
AlloStim-7	
AlloStim8AlloStim-9	
BIIB021	
BIIB021	
BIIB021	
BIIB021	
dalotuzumab	
Z-360	
Z-360	
Z-360	
therapyS81694paclitaxel	
therapyS81694paclitaxel	
MLN2704antibodyMLN591	
IPI-926gemcitabine	
Debio	
MK-5108	
MK-5108	
MK-5108	
MK-5108	
MK-5108	
CDX1307	
Lipotecan	
TTI-101	
KN035	
KN035	
Temsirolimuscapecitabine	
FS102	
VB10.16Immunotherapyvaccine	
TLK286	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
DurvalumabTremelimumab	
Y-90TherapySIRT	
StereotacticTherapySBRT	
HyperAcute®-RenalImmunotherapy	
Alisertib	
ADXS-NEO	
CUDC-101	
CUDC-101	
CUDC-101	
SY-1365	
TLK286	
SB-485232	
ZSP1241	
LY3023414	
LY3023414	
LY3023414	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
