cleaned_up_drug,class_drug_info,class_umls
VMD-928,,
300-mg,,
CD3/HER2,,
bispecific,,
ReposMBZ,,
XY0206,,
Motesanib,Antineoplastic Agents,
diphosphate,,
ONO-7475,,
Revlimid,Antineoplastic Agents|Growth Substances|Angiogenesis Modulating Agents|Angiogenesis Inhibitors|Immunologic Factors|Growth Inhibitors,
BAY806946,Antineoplastic Agents,
Temodar®,,
ACTR,,
"CP-868,596",Antineoplastic Agents,
"CP-868,596",,
Hemay102,,
Amrubicin,Antineoplastic Agents,
ONO-4578,,
HyperAcute-Pancreatic,,
Relacorilant,,
Bazedoxifene,"Estrogen Receptor Modulator|Antiestrogen|Bone Density Conservation Agents|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Selective Estrogen Receptor Modulators",
OSI-7904L,Antineoplastic Agents|Enzyme Inhibitors|Folic Acid Antagonists,
AlloStim-7,,
AlloStim8,,
AlloStim-9,,
Z-360,,
S81694,,
Oncopore,,
MK-5108,,
CDX1307,,
Lipotecan,,
TTI-101,,
FS102,,
VB10.16,,
TLK286,,
Y-90,,
SIRT,,
Stereotactic,,
SBRT,,
HyperAcute®-Renal,,
ADXS-NEO,,
SY-1365,,
ZSP1241,,
DS-3078a,,
BPI-15086,,
Anti-MUC1,,
PD-1,,
leuprolide,"Antineoplastic Agents, Hormonal|Fertility Agents, Female|Hormone|Human Data|Reproductive Effect|Antineoplastic Agents|Fertility Agents|Reproductive Control Agents",
bicalutamide,"Androgen Antagonists|Antineoplastic Agents|Drug / Therapeutic Agent|Reproductive Effect|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists",
CDX-1307,,
PLB1001,,
Tripegfilgrastim,,
PF-06936308,,
Pegylated,,
MK-1454,,
MAGE-A3,,
MSC2490484A,,
Ad-P53,,
rosiglitazone,Hypoglycemic Agents,
D-0316,,
GRT-C901,,
GRT-R902,,
Oregovomab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
ABI-008,,
GX-I7,,
ETC-1922159,,
omega-3,,
ethyl,,
haNK®,,
LXH254,,
BAY1905254,,
adenovirus-p53,,
SCH-58500,,
LOR-253,,
paricalcitol,,"Vitamin D3 Analog|Other anti-parathyroid agents|Enzyme Interactions|VITAMIN D,OTHER"
KITE-439,,
VT-464,,
ECO-4601,,
Ad-MAGEA3,,
MG1-MAGEA3,,
Enzastaurin,,
Viagenpumatucel-L,,
IMO-2125,,
INCB007839,,
EGF816,Antineoplastic Agents,
VX-984,,
GSK21110183,,
MK-2118,,
Parsaclisib,,
ARA-C,"Antimetabolites, Antineoplastic|Antiviral Agents|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Anti-Infective Agents|Antimetabolites|Antineoplastic Agents|Immunologic Factors|Noxae",
LDAC,,
Daunorubicin,"Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Reproductive Effect|Tumor Data|Antibiotics, Antineoplastic|Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
Exisulind,"Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Anti-Inflammatory Agents, Non-Steroidal|Anticarcinogenic Agents|Antineoplastic Agents|Antirheumatic Agents|Cyclooxygenase Inhibitors|Enzyme Inhibitors|Peripheral Nervous System Agents|Protective Agents|Sensory System Agents",
LY3214996,,
Encorafenib,,"Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|BRAF Serine/Threonine Kinase Inhibitors"
KPT-9274,,
Niacin,Drug / Therapeutic Agent|Human Data|Tumor Data|Antimetabolites|Cardiovascular Agents|Growth Substances|Micronutrients|Vasodilator Agents|Vitamin B Complex|Vitamins|Hypolipidemic Agents|Lipid Regulating Agents,
CYH33,,
ALRN-6924,,
AG881,,
Thymalfasin,"Adjuvants, Immunologic|Antineoplastic Agents|Immunologic Factors",
Thymosin,,
tyrosine,Mutation Data|Reproductive Effect,
radiotherapy,,
docetaxel+lapatinib,,
HER2,,
SAR650984,,
HPN536,,
Teysuno,"Antimetabolites, Antineoplastic|Antimetabolites|Antineoplastic Agents|Noxae",
epirubicin,"Drug / Therapeutic Agent|Mutation Data|Antibiotics, Antineoplastic|Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
vadimezan,Antineoplastic Agents,
AT-101,"Diuretics, Osmotic|Diuretics|Natriuretic Agents|TSCA Flag PMN (a Commenced PMN (Premanufacture Notice) Substance)",
AT-101,,
GPX-150,,
fluvoxamine,"Anti-Anxiety Agents|Antidepressive Agents, Second-Generation|Serotonin Uptake Inhibitors|Antidepressive Agents|Central Nervous System Agents|Central Nervous System Depressants|Neurotransmitter Agents|Neurotransmitter Uptake Inhibitors|Psychotropic Drugs|Serotonin Agents|Tranquilizing Agents|Cytochrome P-450 CYP1A2 Inhibitors|Cytochrome P-450 CYP2C19 Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Enzyme Inhibitors|Membrane Transport Modulators|Metabolic Side Effects of Drugs and Substances",
VAX014,,
phenoxodiol,,
PSMA/PRAME,,
PLX4032,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
PLX4032,,
custirsen,,
hormon-peptide,,
TCApF,,
suppressive,,
APG-1387,,
INCB052793,,
lenalidomide,Antineoplastic Agents|Growth Substances|Angiogenesis Modulating Agents|Angiogenesis Inhibitors|Immunologic Factors|Growth Inhibitors,
pomalidomide,Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Substances|Immunologic Factors|Growth Inhibitors,
INCB039110,,
CC-486,,
gilteritinib,,"ANTINEOPLASTIC,OTHER"
ABN401-,,
BDB001,,
NOV1501,,
ABL001,,
PF-06821497,,
HER-2/neu,,
ABBV-075,,
AZD4205,,
lifirafenib,,
PD-0325901,,
PDC*lung01,,
Injectable,,
Sapacitabine,Antineoplastic Agents,
NKTR,,
BMS-986207,,
Fostamatinib,,
TCR-T,,
DS-8273a,,
AZD5069,,
treme,,
DS-3032,,
abiraterone,,Other hormone antagonists and related agents|Cytochrome P450 2C8 Inhibitors|Cytochrome P450 17A1 Inhibitors|ANTINEOPLASTIC HORMONES|Cytochrome P450 2D6 Inhibitors|Cytochrome P450 17A1 Inhibitor
Allogeneic,,
AR-12,,
mRNA-2416,,
M7583,,
CEP-18770,Enzyme Inhibitors|Protease Inhibitors|Proteasome Inhibitors,
MAGE,,
ASTX727,,
Rociletinib,Antineoplastic|Antineoplastic Agents,
ganitumab,,
TBI-1301,,
Imiquimod,"Adjuvants, Immunologic|Interferon Inducers|Antineoplastic Agents|Immunologic Factors",
TRK-950,,
AT-406,,
IDC-G305,,
H3B-6545,,
ABT-510,,
CRLX101,,
MVT-2163,,
ATP128,,
VTX-2337,,
TAK-165,Antineoplastic Agents|Epidermal-Growth-Factor (EGF) Receptor Inhibitors,
UB-921,,
rHSA/GCSF,,
Divalproex,,
2-hydroxyflutamide,"Androgen Antagonists|Drug / Therapeutic Agent|Reproductive Effect|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists",
2-HOF,,
Liproca,,
2-Hydroxyflutamide,"Androgen Antagonists|Drug / Therapeutic Agent|Reproductive Effect|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists",
G1T38,,
Bombesin,Mutation Data|Neurotransmitter Agents,
BAY86-7548,,
Radium,,
Sildenafil,Enzyme Inhibitors|Phosphodiesterase 5 Inhibitors|Cardiovascular Agents|Phosphodiesterase Inhibitors|Vasodilator Agents|Urological Agents,
TGR-1202,,
INCAGN02390,,
MEDI0457,,
Satoreotide,,
tetraxetan,Chelating Agents|Sequestering Agents,
trizoxetan,,
Tepotinib,,
Onvansertib,,
Cedazuridine,,
XmAb14045,,
CetuGEX,,
MK-1496,,
UCART19/ALLO-501,,
CV9201,,
ThermoDox®,,
LTLD,,
Bosutinib,Antineoplastic (Src Kinase Inhibitor)|Antineoplastic Agents,
MRx0518,,
IPH2201,,
PI-88,,
Celecoxib,"Anti-Inflammatory|Analgesic|Anti-Inflammatory Agents, Non-Steroidal|Cyclooxygenase Inhibitors|Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Enzyme Inhibitors|Peripheral Nervous System Agents|Sensory System Agents|Cyclooxygenase 2 Inhibitors|Antirheumatic Agents",
EZN-2208,,
Vorolanib,,
galinpepimut-S,,
MK-5890,,
dHER2,,
SDX-7320,,
Pembrolizumab/,,
Exemestane/,,
gene,,
protein,,
transcriptase-polymerase,,
Genetically,,
BAY2287411,,
Icaritin,,
CKD602,,
CKD602,Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase I Inhibitors|Topoisomerase Inhibitors,
Bi-Weekly,,
DSP-7888,,
ChAdOx1-MVA,,
LEQ506,,
Isotretinoin,Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Teratogens|Dermatologic Agents|Noxae,
LUM015,,
PankoMab-GEX,,
marizomib,,
111-Indium-CMD-193,,
gp96,,
Adriamycin,,Topoisomerase 2 Inhibitors|ANTINEOPLASTIC ANTIBIOTICS|Anthracycline Topoisomerase Inhibitor|Topoisomerase Inhibitors|Anthracyclines and related substances
UCPVax,,
MK-4827,Poly(ADP-ribose) Polymerase Inhibitors|Enzyme Inhibitors|Antineoplastic agents,
89Zr-,,
DFO-MSTP2109A,,
Tumor,,
fluorescence,,
IMA201,,
Varlilumab,,
GCSF,,
PEG-GCSF,,
DCVac-L,,
TP-0903,,
Lupartumab,,
Amadotin,,
BAY1129980,,
ABT-751,,
BAY1075553,,
Transgenic,,
Lymphocyte,,
Immunization,,
Rivoceranib,,
REGN4018,,
interferon-gamma,Antiviral Agents|Drug / Therapeutic Agent|Natural Product|Anti-Infective Agents,
NOV140101,,
IDX1197HCl,,
KX2-391,,
EIF4E,,
APL-1202,,
dacarbazine,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Alkylating Agents|Antineoplastic Agents|Noxae",
PBF-509_80,,
PBF-509_160,,
PBF-509_320,,
PBF-509_640,,
PBF-509,,
PBF-509+PDR001,,
naïve,,
PEG-BCT-100,,
BB-10901,"Antineoplastic Agents|Antineoplastic Agents, Immunological|Antineoplastic Agents, Phytogenic|Immunotoxins|Noxae",
Toripalimab,,
SN2310,,
IMA202,,
ABBV-085,,
MS201408-0005A,,
MS201408-0005C,,
MS201408-0005B,,
MORAb-066,,
Vidaza,"Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antimetabolites|Antineoplastic Agents|Noxae",
CB-839,,
Pac-CB,,
CB-Erl,,
CB-Cabo,,
ACY-1215,,
INCAGN02385,,
ABR-217620,,
mapatumumab,Antineoplastic Agents,
peg-filgrastim,Antineoplastic Agents|Pegylated Protein,
MM-310,,
Bevacizumab+Carboplatin,,
vivax,,
Interferon-gamma,Antiviral Agents|Drug / Therapeutic Agent|Natural Product|Anti-Infective Agents,
Torisel,,"Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor"
Radspherin,,
F-627,,
DS-1062a,,
Arginase,TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
AZD8186,,
KW-0761,Antineoplastic Agents,
PNT2258,,
ASTX295,,
Doxil,"Antineoplastic Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antibiotics, Antineoplastic|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
Doxil,Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data,
ACIT-1,,
Tumor-Infiltrating,,
Lymphocytes,,
TILs,,
CAR-T/TCR-T,,
immunotherapy,,
Genistein,"Anticarcinogenic Agents|Antineoplastic Agents|Drug / Therapeutic Agent|Enzyme Inhibitors|Mutation Data|Reproductive Effect|Estrogens|Estrogens, Non-Steroidal|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Phytoestrogens|Protective Agents|Protein Kinase Inhibitors",
ASV,,
AGEN2017,,
QS-21,"Adjuvants, Immunologic|Immunologic Factors",
Stimulon®,,
IMA203,,
Trebananib,Growth Substances|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Inhibitors,
MEDI7247,,
INO-1400,,
INO-1401,,
5-Flourouracil,,
CDX-1140,,
CDX-301,,
FT500,,
Vatalanib,Protein Kinase Inhibitors|Enzyme Inhibitors,
BGT226,,
Wafarin,,
Bupropion,"Drug / Therapeutic Agent|Antidepressive Agents|Antidepressive Agents, Second-Generation|Central Nervous System Agents|Dopamine Agents|Dopamine Uptake Inhibitors|Neurotransmitter Agents|Neurotransmitter Uptake Inhibitors|Psychotropic Drugs|Cytochrome P-450 CYP2D6 Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Enzyme Inhibitors|Membrane Transport Modulators|Metabolic Side Effects of Drugs and Substances|Smoking Cessation Agents",
MRX-2843,,
capecitabine/oxaliplatin/bevacizumab/RAD001,,
MK-8628,,
FATE-NK100,,
BPI-7711,,
Campto,"Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Antineoplastic Agents|Antineoplastic Agents, Phytogenic|Enzyme Inhibitors|Radiation-Sensitizing Agents|Topoisomerase I Inhibitors|Topoisomerase Inhibitors",
hMN14,"Monoclonal Antibody|Antineoplastic Agents|Antineoplastic Agents, Immunological",
labetuzumab,"Monoclonal Antibody|Antineoplastic Agents|Antineoplastic Agents, Immunological",
INCB062079,,
MGA271,,
Talabostat,,
CVX-060,,
CPI-006,,
BCD-100,,
NIS793,,
Imx-110,,
AK104,,
V941,,
Ribavirin,Antimetabolites|Antiviral Agents|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Anti-Infective Agents|Noxae,
NS-9,,
NP-G2-044,,
Tirapazamine,Antineoplastic Agents|Drug / Therapeutic Agent|Mutation Data|Radiation-Sensitizing Agents,
JNJ-64619178,,
NEO-201,,
Picoplatin,Antineoplastic,
Ruxolitinib,Antineoplastic Agents,
OBI-3424,,
cytarabine,"Antimetabolites, Antineoplastic|Antiviral Agents|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Anti-Infective Agents|Antimetabolites|Antineoplastic Agents|Immunologic Factors|Noxae",
CVX-045,,
apomine,Antineoplastic,
intoplicine,,
CAB-AXL-ADC,,
Camptothecin,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Enzyme Inhibitors|Mutation Data|Natural Product|Antineoplastic Agents|Topoisomerase I Inhibitors|Topoisomerase Inhibitors",
cyclodextrin-based,,
polymer,TSCA Flag FRI (a Polymer Containing no Free-Radical Indicator in its Inventory Name but is Made with One Regardless of the Amount Used)|TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
Liposome-encapsulated,,
SN38,"Mutation Data|Antineoplastic Agents|Antineoplastic Agents, Phytogenic|Enzyme Inhibitors|Radiation-Sensitizing Agents|Topoisomerase I Inhibitors|Topoisomerase Inhibitors",
Taxane,Antineoplastic Agents,
HMPL-453,,
ADXS-503,,
Tenalisib,,
LUT014,,
JTX-2011,,
CART-TnMUC1,,
Mifepristone,"Abortifacient Agents, Steroidal|Contraceptives, Oral, Synthetic|Contraceptives, Postcoital, Synthetic|Hormone|Hormone Antagonists|Human Data|Luteolytic Agents|Menstruation-Inducing Agents|Reproductive Effect|Abortifacient Agents|Contraceptive Agents|Contraceptive Agents, Female|Contraceptives, Oral|Contraceptives, Postcoital|Hormones, Hormone Substitutes, and Hormone Antagonists|Reproductive Control Agents",
MK-8776,,
Zalutumumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
GSK2126458,,
Xilonix,,
Onivyde,,
REGN4659,,
AGI-134,,
DS6051b,,
Aprepitant,Substance P Antagonist|Antiemetic (in Chemotherapy-Induced Emesis)|Antiemetics|Autonomic Agents|Central Nervous System Agents|Gastrointestinal Agents|Peripheral Nervous System Agents|Neurokinin-1 Receptor Antagonists|Neurotransmitter Agents,
Ondansetron,Anti-Anxiety Agents|Antiemetics|Antipsychotic Agents|Drug / Therapeutic Agent|Human Data|Serotonin Antagonists|Antipruritics|Autonomic Agents|Central Nervous System Agents|Central Nervous System Depressants|Dermatologic Agents|Gastrointestinal Agents|Neurotransmitter Agents|Peripheral Nervous System Agents|Psychotropic Drugs|Serotonin Agents|Tranquilizing Agents,
Taporfin,,
Cidofovir,Anti-HIV Agents|Antiviral Agents|Antiviral|Anti-Infective Agents|Antineoplastic Agents|Anti-Retroviral Agents|Radiation-Sensitizing Agents,
Cidofovir,Anti-Infective Agents|Antiviral Agents|Enzyme Inhibitors,
leronlimab,,
LGK974,Enzyme Inhibitors,
MGN1601,,
SB939,,
WBRT,,
sequential,,
Depocyte,"Antimetabolites, Antineoplastic|Antiviral Agents|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Anti-Infective Agents|Antimetabolites|Antineoplastic Agents|Immunologic Factors|Noxae",
BAL101553,,
ASTX029,,
ASN007,,
ADP-A2M4CD8,,
glioblastoma,,
IMA950,,
Febuxostat,Gout Suppressants|Antirheumatic Agents,
PROSTVAC-V,,
PROSTVAC-F,,
EC0489,,
SGM-101,,
Vintafolide,,
L19IL2,,
MGD007,,
HuMax-TF-ADC,,
TQ-B3203,,
Sym015,,
EC0225,,
Folic,,
hydrazide,Antitubercular Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Anti-Bacterial Agents|Anti-Infective Agents|Antimetabolites|Fatty Acid Synthesis Inhibitors|Hypolipidemic Agents,
acid-technetium,,
CORT125134,,
PF-04518600,,
COTI2,,
Thiarabine,,
MLN6907,,
CDX-1127,,
RGX-202-01,,
Tegavivint,,
ODM-209,,
vantictumab,,
Talaporfin,Antineoplastic Agents|Photosensitizing Agents|Dermatologic Agents|Radiation-Sensitizing Agents,
racotumomab,,
IDE196,,
V935,,
V934-EP,,
pediatric,,
Taladegib,,
CORT125281,,
VB10.NEO,,
IMC-001,,
SRA737,,
INCB053914,,
I-DAC,,
rebastinib,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
LY2784544,,
NB1011,Pronucleotides|Antineoplastic,
OMO-1,,
mocetinostat,Antineoplastic Agents|Histone Deacetylase Inhibitors|Enzyme Inhibitors,
Exherin,,
Naptumomab,,
estafenatox,,
IMFINZI,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Nelarabine,Antineoplastic,
TSD-001,,
ERBITUX,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
CXD101,,
BMS-986253,,
TAS-120,,
Sagopilone,Antineoplastic Agents,
ATOR-1015,,
Nal-Irinotecan,,
PX-478,,
GZ17-6.02,,
ADCT-301,,
FP-1305,,
Rhenium,,
P2045,,
BAY86-5284,,
INBRX-105,,
PDL1x41BB,,
Enfortumab,,
BMS-986277,,
BMS-986242,,
Carboplatin/Gemcitabine,,
YN968D1,,
CAN04,,
AB154,,
MK-0646,,
Toca,,
brentuximab,,
prednisone,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Adrenal Cortex Hormones|Anti-Inflammatory Agents|Antineoplastic Agents|Glucocorticoids|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists",
vincristine,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
REGN1400,,
PCI-24781,Enzyme Inhibitors|Histone Deacetylase Inhibitors,
THOR-707,,
Checkpoint,,
C-14,,
TPST-1120,,
ADC-1013,,
Interleukin-21,,
STRO-002,,
PT2977,,
ARRY-380,,
LOXO-292,,
2-hydroxyoleic,,
CAB-ROR2-ADC,,
BAY2731954,,
SG001,,
BVD-523,,
GR-MD-02,,
MP0250,,
GRT-C903,,
GRT-R904,,
anti-PD-,,
anti-CTLA-4,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
RV001V,,
ODM-207,,
BMS-986288,,
MG005,,
posaconazole,"Antifungal|Antibiotics, Antifungal|Trypanocidal Agents|Antifungal Agents|Anti-Infective Agents|Antiparasitic Agents|Antiprotozoal Agents|14-alpha Demethylase Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Enzyme Inhibitors|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors|Metabolic Side Effects of Drugs and Substances",
JI-101,,
ZSP1602,,
131-I-TM-601,,
chlorotoxin,Neurotoxins|Noxae,
Vitravki,,
PEN-221,,
PZP115891,,
BMS-986310,,
zoledronic,,
BMS-986249,,
ASTX660,,
OGX-427,Antineoplastic,
OGX-427,,
Standard-of-care,,
BMS-986258,,
TKM-080301,,
BMS-986148,,
NAB-PACLITAXEL,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
PACLITAXEL,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
Uracil,Mutation Data|Reproductive Effect|Tumor Data,
BMS-986218,,
IDO1,,
INBRX-109,,
PV-10,Reproductive Effect|Tumor Data,
PV-10,TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
PV-10,,
NC318,,
BMS-986158,,
"CP-547,632",,
DCVAC,,
IMSA101,,
checkpoint,,
Immuno-oncology,,
Cefixime,Drug / Therapeutic Agent|Anti-Bacterial Agents|Anti-Infective Agents,
Cefixime,Anti-Infective Agents|Anti-Bacterial Agents,
Cefpodoxime,Anti-Bacterial Agents|Anti-Infective Agents,
Cibisatamab,,
plerixafor,,"Other immunostimulants|Unknown Cellular or Molecular Interaction|BLOOD PRODUCTS,OTHER|Hematopoietic Stem Cell Mobilizer"
osimertinib,,"Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Cytochrome P450 3A Inhibitors|Breast Cancer Resistance Protein Inhibitors|Cytochrome P450 1A2 Inducers|Kinase Inhibitor|Cytochrome P450 3A4 Inducers|Kinase Inhibitors"
BMS-986178,,
WX-0593,,
Ganitumab,,
CC-5013,Antineoplastic Agents|Growth Substances|Angiogenesis Modulating Agents|Angiogenesis Inhibitors|Immunologic Factors|Growth Inhibitors,
CTAP101,,
Rintatolimod,Antiviral Agents|Antiretroviral|Immunomodulator|Anti-Infective Agents,
PX-866,,
SB1518,Antineoplastic Agents,
BMS-986156,,
AZD6094,,
non-Asian,,
intermittent,,
MGC018,,
JAB-3312,,
GS-4224,,
carbplatin,,
cyclophophamide,,
Desipramine,"Adrenergic Uptake Inhibitors|Antidepressive Agents, Tricyclic|Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Mutation Data|Reproductive Effect|Adrenergic Agents|Antidepressive Agents|Central Nervous System Agents|Neurotransmitter Agents|Neurotransmitter Uptake Inhibitors|Psychotropic Drugs|Membrane Transport Modulators",
APG-115+Pembrolizumab,,
Crotoxin,Natural Product,
Durvalumab/chemotherapy,,
Durvalumab/Tremelimumab/chemotherapy,,
Rosuvastatin10,,
syrup,,
Voruciclib,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
SGN-CD47M,,
TSR-011,,
HLX07+Gemcitabine+Cisplatin,,
HLX07+Paclitaxel+Carboplatin,,
HLX07+mFOLFOX6,,
BGB-A333,,
Treosulfan,"Antineoplastic Agents, Alkylating|Mutation Data|Tumor Data|Alkylating Agents|Antineoplastic Agents|Noxae",
Pamiparib,,
roniciclib,,
TAS-119,,
BLZ945,,
Vivomixx,,
BAY1125976,,
LGH447,,
CCX872-B,,
BAY86-9596,,
Fludeoxyglucose,,
#NAME?,Agricultural Chemical|Growth Regulator / Fertilizer|Mutation Data,
CX-072,,
SL-279252,,
PD-1/PD-L1,,
calcitriol,Calcium Channel Agonists|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Bone Density Conservation Agents|Cardiovascular Agents|Growth Substances|Membrane Transport Modulators|Micronutrients|Vasoconstrictor Agents|Vitamins|Calcium-Regulating Hormones and Agents,
